name,longitude,latitude,address,description
狮矿住宅区,117.8185,30.95123,安徽省铜陵市狮矿住宅区,
植物园,116.2162,40.00756,安徽省铜陵市植物园,
市税务局,117.8331,30.9366,安徽省铜陵市市税务局,
人防办,116.4134,39.91092,安徽省铜陵市人防办,
中国银行,117.2251,30.71004,安徽省铜陵市中国银行,
交通局,116.3444,39.72678,安徽省铜陵市交通局,
交通大厦,117.8185,30.95123,安徽省铜陵市交通大厦,
铜官大道北,117.7981,30.93272,安徽省铜陵市铜官大道北,
育才路口,117.8534,31.10436,安徽省铜陵市育才路口,
雍湖园,117.8181,30.94554,安徽省铜陵市雍湖园,
市政府,117.8177,30.95121,安徽省铜陵市市政府,
湖东路口,117.8131,30.96616,安徽省铜陵市湖东路口,
凤凰城,117.8198,30.96152,安徽省铜陵市凤凰城,
新城花园,117.8268,30.96005,安徽省铜陵市新城花园,
中科大创业园,117.8269,30.9658,安徽省铜陵市中科大创业园,
华源麻业,117.801,30.93469,安徽省铜陵市华源麻业,
精达,117.8185,30.95123,安徽省铜陵市精达,
九鼎雕塑,117.8378,30.9819,安徽省铜陵市九鼎雕塑,
湖滨花园,117.8417,30.98526,安徽省铜陵市湖滨花园,
一中西湖校区,116.3235,39.93154,安徽省铜陵市一中西湖校区,
招呼站(泰山大道),116.7645,40.08623,安徽省铜陵市招呼站(泰山大道),
宇业·天逸华府,117.8474,31.00114,安徽省铜陵市宇业·天逸华府,
铜官大道,117.7981,30.93272,安徽省铜陵市铜官大道,
铜官区图书馆,116.2931,40.21466,安徽省铜陵市铜官区图书馆,
东村东,116.5899,39.88108,安徽省铜陵市东村东,
中医院,116.2481,40.22235,安徽省铜陵市中医院,
财富广场,117.2201,30.70249,安徽省铜陵市财富广场,
大润发,117.8426,30.95565,安徽省铜陵市大润发,
铜陵电信,117.7877,30.97987,安徽省铜陵市铜陵电信,
涌银广场,117.8421,30.96798,安徽省铜陵市涌银广场,
市公安局,116.4935,39.93008,安徽省铜陵市市公安局,
翠湖湾,117.8408,30.97611,安徽省铜陵市翠湖湾,
质监局,116.1492,39.74175,安徽省铜陵市质监局,
黄山大道口,117.8223,30.96974,安徽省铜陵市黄山大道口,
锐展公司,116.4134,39.91092,安徽省铜陵市锐展公司,
全威铜业,117.8383,30.98888,安徽省铜陵市全威铜业,
翠湖六路口,117.8356,30.98533,安徽省铜陵市翠湖六路口,
华弘科技,117.8185,30.95123,安徽省铜陵市华弘科技,
晶赛科技,117.8185,30.95123,安徽省铜陵市晶赛科技,
格瑞特挤出公司,116.4134,39.91092,安徽省铜陵市格瑞特挤出公司,
开发区换乘中心,115.9689,39.73264,安徽省铜陵市开发区换乘中心,
西湖三路,117.8593,31.00718,安徽省铜陵市西湖三路,
天门山大道,117.8231,30.98192,安徽省铜陵市天门山大道,
狮子山首末站,118.0996,30.99028,安徽省铜陵市狮子山首末站,
包村东路口,117.9205,30.9317,安徽省铜陵市包村东路口,
长龙山大道口,117.9208,30.93166,安徽省铜陵市长龙山大道口,
铜精山大道口,117.9141,30.92962,安徽省铜陵市铜精山大道口,
东宇公司,116.2124,40.08602,安徽省铜陵市东宇公司,
栖凤路,117.9231,30.93495,安徽省铜陵市栖凤路,
青霞路,117.8954,30.93439,安徽省铜陵市青霞路,
铜井东路口,117.9184,30.92809,安徽省铜陵市铜井东路口,
矿部,117.8185,30.95123,安徽省铜陵市矿部,
701道口,117.828,30.9295,安徽省铜陵市701道口,
临津大道口,117.8185,30.95123,安徽省铜陵市临津大道口,
东盛大道,117.9311,30.93984,安徽省铜陵市东盛大道,
曹村,118.0847,30.93707,安徽省铜陵市曹村,
国际汽车城,117.9125,30.95161,安徽省铜陵市国际汽车城,
栖凤名城,117.8849,30.93713,安徽省铜陵市栖凤名城,
金大地上东天宸,117.8743,30.93437,安徽省铜陵市金大地上东天宸,
陵江大道口,117.7967,30.84001,安徽省铜陵市陵江大道口,
中医院东,116.2481,40.22235,安徽省铜陵市中医院东,
东村站,116.5899,39.88108,安徽省铜陵市东村站,
公交一分公司,116.3641,39.93466,安徽省铜陵市公交一分公司,
义安大道北,117.8593,31.00718,安徽省铜陵市义安大道北,
皖江游园,117.8211,30.92982,安徽省铜陵市皖江游园,
金口岭,117.8011,30.92751,安徽省铜陵市金口岭,
金御华府,117.8009,30.91861,安徽省铜陵市金御华府,
第三人民医院,117.8051,30.91318,安徽省铜陵市第三人民医院,
八一二队,117.8041,30.91006,安徽省铜陵市八一二队,
驾训队,116.4134,39.91092,安徽省铜陵市驾训队,
发电厂,116.4134,39.91092,安徽省铜陵市发电厂,
造纸厂,116.4511,39.95994,安徽省铜陵市造纸厂,
星原锅炉厂,116.318,39.97323,安徽省铜陵市星原锅炉厂,
磷铵厂,117.8185,30.95123,安徽省铜陵市磷铵厂,
滨江站,120.2185,30.21433,安徽省铜陵市滨江站,
滨江花园,117.7574,30.8882,安徽省铜陵市滨江花园,
横港,117.7569,30.8893,安徽省铜陵市横港,
郊区经开区临时首末站,116.3686,40.06343,安徽省铜陵市郊区经开区临时首末站,
白鹤家园,117.7852,30.89082,安徽省铜陵市白鹤家园,
商南新村,117.8311,30.9363,安徽省铜陵市商南新村,
山水人家,117.8126,30.96266,安徽省铜陵市山水人家,
华芳国际,117.8063,30.96432,安徽省铜陵市华芳国际,
人民大道,117.8012,30.96373,安徽省铜陵市人民大道,
滨江书屋,117.7898,30.95813,安徽省铜陵市滨江书屋,
老洲渡口,117.812,31.0308,安徽省铜陵市老洲渡口,
山水人家,116.4134,39.91092,安徽省铜陵市山水人家,
湖东路口北,117.8131,30.96616,安徽省铜陵市湖东路口北,
罗村桥,117.8185,30.95123,安徽省铜陵市罗村桥,
钟鸣,118.0641,30.9858,安徽省铜陵市钟鸣,
钟鸣中学站,118.0587,30.98327,安徽省铜陵市钟鸣中学站,
